esgType,Sector,industry,Company,locationName,locationGeneralType,locationType,countryName,latitude,longitude,NonGHGAirPollutants,GHGEmissions,SoilPollutants,SolidWaste,WaterPollutants,WaterUse,WaterQuality,waterStressScore,MarineEcosystemUse,FreshwaterEcosystemUse,ProductionProcess,landUsage,TotalSpeciesCount1km,located_within_KBA_or_Not,located_within_WPA_or_Not,area_KBA_1km,area_WPA_1km,distance_Kms_to_closest_KBA,distance_Kms_to_closest_WPA,AnnualHurricaneOccurance250Km,AnnualMaxStormSpeed250Km,AnnualLandslideOccurance25Km,RiverineInundation2030RCP45ReturnPeriod100,RiverineInundation2050RCP45ReturnPeriod100,RiverineInundation2080RCP45ReturnPeriod100,RiverineInundation2030RCP85ReturnPeriod100,RiverineInundation2050RCP85ReturnPeriod100,RiverineInundation2080RCP85ReturnPeriod100,CoastalInundation2030RCP45ReturnPeriod100Percentile95,CoastalInundation2030RCP85ReturnPeriod100Percentile95,CoastalInundation2050RCP45ReturnPeriod100Percentile95,CoastalInundation2050RCP85ReturnPeriod100Percentile95,CoastalInundation2080RCP45ReturnPeriod100Percentile95,CoastalInundation2080RCP85ReturnPeriod100Percentile95,heatwaveRiskScore_2025_RCP45,heatwaveRiskScore_2025_RCP85,heatwaveRiskScore_2050_RCP45,heatwaveRiskScore_2050_RCP85,heatwaveRiskScore_2075_RCP45,heatwaveRiskScore_2075_RCP85,heatwaveRiskScore_2100_RCP45,heatwaveRiskScore_2100_RCP85,coldwaveRiskScore_2025_RCP45,coldwaveRiskScore_2025_RCP85,coldwaveRiskScore_2050_RCP45,coldwaveRiskScore_2050_RCP85,coldwaveRiskScore_2075_RCP45,coldwaveRiskScore_2075_RCP85,coldwaveRiskScore_2100_RCP45,coldwaveRiskScore_2100_RCP85,annualAccumilatedRainfall2030RCP45,annualAccumilatedRainfall2030RCP85,annualAccumilatedRainfall2050RCP45,annualAccumilatedRainfall2050RCP85,annualAccumilatedRainfall2080RCP45,annualAccumilatedRainfall2080RCP85,Year,ChlorophyllPercentage_100m,ChlorophyllPercentage_1000m
ESG_100119,Energy,"Oil, Gas & Consumable Fuels",Equinor ASA,Equinor Argentina Victoria Ocampo Office,Office,Office,Argentina,-34.6017825,-58.3641079,H,H,H,H,H,VH,,60.02403222,M,H,Oil and gas exploration surveys,0.004042476,810,0,0,1.104,1.089,0.041,0.165,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.5,84.42,88.17,90,88.67,92.08,2023,17.18,17.43
ESG_100121,Energy,"Oil, Gas & Consumable Fuels",Equinor ASA,Equinor Storage Williston,Storage,Storage,United States of America,48.1415794,-103.850979,,,L,,L,,,32.88377623,,,Oil and gas storage,0.192243427,394,0,0,0,0,46.641,8.566,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,14,18,14,13,10,13,16,9,39.92,34.83,38.33,34.17,35.83,38.83,2023,0.23,0.83
ESG_100125,Energy,"Oil, Gas & Consumable Fuels",Equinor ASA,Equinor Marketing And Trading Stamford,Office,Office,United States of America,41.0744128,-73.5531882,H,H,H,H,H,VH,,78.99846399,M,H,Oil and gas exploration surveys,0.153776862,588,0,0,0,0,14.485,1.136,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,103.75,104,105.58,105.42,107.17,109.5,2023,0,0.03
ESG_100129,Energy,"Oil, Gas & Consumable Fuels",Equinor ASA,Equinor Office Caracas,Office,Office,Venezuela (Bolivarian Republic of),10.4986507,-66.8522569,,,,M,,,,63.48885258,,,Oil and gas services,0.012702589,1009,0,1,0,3.143,1.396,0,8,22,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.17,76.83,77.75,80,78.42,79.17,2023,0,0.19
ESG_100134,Energy,"Oil, Gas & Consumable Fuels",Equinor ASA,Equinor Office London,Office,Office,United Kingdom of Great Britain and Northern Ireland,51.5190763,-0.181679,,,,M,,,,37.21804694,,,Oil and gas services,0.012307827,640,0,0,0,0,10.431,1.522,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.17,56.75,55.42,54.67,55.08,54.33,2023,8.02,1.42
ESG_100135,Energy,"Oil, Gas & Consumable Fuels",Equinor ASA,Equinor Office Tanzania,Office,Office,"Tanzania, United Republic of",-6.744889,39.280335,,,,M,,,,9.944956927,,,Oil and gas services,0.006168646,2569,1,0,3.143,0,0,3.467,,,,,,,,,,0,0,0,0,0,0,0,0,7,13,9,36,19,55,0,0,0,0,0,0,0,0,85.92,84.17,83.92,87.25,85.33,83.5,2023,,
ESG_100138,Energy,"Oil, Gas & Consumable Fuels",Equinor ASA,Equinor Asia Pacific Office Singapore,Office,Office,Singapore,1.278489791,103.8516823,H,H,H,H,H,VH,,89.79377925,M,H,Oil and gas exploration surveys,0.030020451,2829,0,0,0,0,5.701,5.389,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,56,14,84,0,0,0,0,0,0,0,0,172.42,186.75,180.33,164.5,182.58,173.75,2023,,
ESG_100141,Energy,Professional Services,Equinor ASA,Equinor Research Center Ranheim,Research Institute,Research Institute,Norway,63.4388664,10.478279,M,,H,M,H,H,,5.420334826,,,Infrastructure holdings,0.337885038,583,0,0,0,0,9.956,1.178,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,80.92,80.58,83.58,83,82.25,87.33,2023,14.62,36.74
ESG_100152,Energy,"Oil, Gas & Consumable Fuels",Equinor ASA,Equinor Office Rotterdam,Office,Office,Netherlands,51.92226,4.468957,,,,M,,,,4.87555941,,,Oil and gas services,0.066608583,680,0,0,0,0,3.885,1.508,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.25,71.92,72,69.83,70.58,72.08,2023,1.84,1.79
ESG_100158,Energy,"Oil, Gas & Consumable Fuels",Equinor ASA,Equinor Office Mexico,Office,Office,Mexico,19.4284975,-99.204629,H,H,H,H,H,VH,,8.459257436,M,H,Oil and gas exploration surveys,0.007012284,617,0,0,0,0,13.17,1.069,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.25,63.67,62.25,66,63.08,68.33,2023,0,0.22
ESG_100161,Energy,"Oil, Gas & Consumable Fuels",Equinor ASA,Equinor Stavanger Headquarters,Office,Office,Norway,58.8924139,5.7182234,H,H,H,H,H,VH,,0.916852054,M,H,Oil and gas exploration surveys,0.461433188,507,0,0,0,0,3.147,1.466,,,,0.03,0.032,0.034,0.03,0.034,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,129.83,130.25,133.75,133.42,139.75,2023,0.14,1.42
ESG_100164,Energy,Metals & Mining,Tenaris SA,Tenaris Global Services Nigeria,Office,Office,Nigeria,6.4345162,3.4258144,H,H,L,H,L,H,,9.634691951,,,Vulcanisation,0.003393054,1097,0,0,0,0,88.097,18.672,,,,0,0,0,0,0,0,0,0,0,0,0,0,11,6,24,25,23,49,36,75,0,0,0,0,0,0,0,0,144.5,143.33,144.92,142.67,145.42,145.75,2023,0,9.11
ESG_100169,Energy,Metals & Mining,Tenaris SA,Tenaris Tamsa Poza Rica Pipe Supplier,Supplier,Pipe Supplier,Mexico,20.48815,-97.49807,,H,,H,,H,,4.251230967,,,Steel production,0.069853369,685,0,0,0,0,34.081,45.488,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,2,5,11,8,28,7,42,0,0,0,0,0,0,0,0,95,98.58,96.33,101.25,97.5,101,2023,0,0.06
ESG_100171,Energy,"Oil, Gas & Consumable Fuels",Equinor ASA,Equinor Office Berlin,Office,Office,Germany,52.514084,13.3906479,H,H,H,H,H,VH,,33.14935284,M,H,Oil and gas exploration surveys,0.034713286,775,0,0,0,0,19.582,4.016,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.75,52,52.42,52.25,54.58,54.58,2023,4.64,2.65
ESG_100174,Energy,"Oil, Gas & Consumable Fuels",Equinor ASA,Equinor Office Aberdeen,Office,Office,United Kingdom of Great Britain and Northern Ireland,57.151606,-2.2273603,,,,M,,,,93.29497011,,,Oil and gas services,0.045973114,523,0,0,0,0,7.107,1.941,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.83,74.25,75.33,76.17,76.67,81.08,2023,0.96,0.04
ESG_100179,Energy,Metals & Mining,Tenaris SA,Tenaris Saudi Arabia Steel Pipe Plant,Plant,Steel Plant,Saudi Arabia,26.2821598,49.962953,,H,,H,,H,,92.43188707,,,Steel production,0.15730507,253,0,0,0,0,23.074,13.673,,,,0,0,0,0,0,0,0,0,0,0,0,0,45,47,49,48,49,54,50,61,0,0,0,0,0,0,0,0,7.25,7.58,6.83,6.67,7.33,6.33,2023,0,0.6
ESG_100182,Energy,Metals & Mining,Tenaris SA,Tenaris Industrial Steel Plant Bay City Texas,Plant,Steel Plant,United States of America,29.00097156,-95.89743385,,H,,H,,H,,17.72633596,,,Steel production,4.459809246,611,0,0,0,0,32.933,11.348,,,,0.416,0.388,0.452,0.358,0.358,0.426,0,0,0,0,0,0,6,11,15,18,18,23,13,31,0,0,0,0,0,0,0,0,90.33,95.67,92.71,94,93.58,84.04,2023,0.02,0.01
ESG_100183,Energy,"Oil, Gas & Consumable Fuels",Equinor ASA,Equinor Exploration Ltd Ireland,Office,Office,Ireland,53.3329337,-6.2636666,H,H,H,H,H,VH,,70.27830339,,H,Mining,0.041587901,499,0,0,0,0,3.32,3.333,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.88,71.96,73.25,74.33,74.12,74.38,2023,0.51,0.45
ESG_100185,Energy,Metals & Mining,Tenaris SA,Tenaris Siderca Industrial Campana Argentina Steel Plant,Plant,Steel Plant,Argentina,-34.152824,-58.9769161,,H,,H,,H,,0.792055163,,,Steel production,3.506506189,532,0,0,0,0,8.73,6.852,,,,0.012,0.008,0.012,0.008,0.01,0.012,0,0,0,0,0,0,0,0,0,1,0,2,0,5,0,0,0,0,0,0,0,0,81.5,81.08,83.58,85.75,85.67,88.33,2023,10.14,14.14
ESG_100193,Energy,Metals & Mining,Tenaris SA,Tenaris Qingdao Industrial Plant China,Plant,Steel Plant,China,35.991068,120.136813,,H,,H,,H,,59.9364497,,,Steel production,0.31511717,415,1,0,3.143,0,0,169.118,7,14,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,9,0,0,0,0,0,0,0,0,61.17,65.42,66.58,65.83,71.33,67.25,2023,3.21,1.29
ESG_100201,Energy,Metals & Mining,Tenaris SA,Tenaris Dalmine Industrial Steel Plant,Plant,Steel Plant,Italy,45.63962037,9.59965288,,H,,H,,H,,16.16529244,,,Steel production,3.184076802,864,0,0,0,0,27.027,6.615,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,81.17,81.67,81.67,79.17,80,73.08,2023,1.23,0.33
ESG_100205,Energy,"Oil, Gas & Consumable Fuels",Equinor ASA,Equinor Office St Johns Canada,Office,Office,Canada,47.5594215,-52.7108251,,,,M,,,,0,,,Oil and gas services,0.032479778,350,0,0,0,0,1.153,20.004,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129.5,129.58,128.17,133.17,135.5,134.67,2023,4.12,6.35
ESG_100207,Energy,"Oil, Gas & Consumable Fuels",Equinor ASA,Equinor Office Calgary,Office,Office,Canada,51.0497715,-114.0682179,,,,M,,,,47.17609511,,,Oil and gas services,0.014610293,376,0,0,0,0,49.178,9.814,,,,1.066,1.08,1.6,1.084,1.04,1.308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,13,8,8,7,9,10,4,41.17,33.75,40.08,34.17,35.5,38.58,2023,46.42,19.7
ESG_100211,Energy,Metals & Mining,Tenaris SA,Tenaris Houston Office,Office,Office,United States of America,29.7449163,-95.4580416,,H,,H,,H,,24.29463993,,,Steel production,0.021277428,689,0,0,0,0,39.858,2.265,,,,0,0,0,0,0,0,0,0,0,0,0,0,4,10,14,17,18,23,14,31,0,0,0,0,0,0,0,0,85.83,92.42,88.58,89.83,90.25,79.67,2023,0.34,0.69
ESG_100212,Energy,"Oil, Gas & Consumable Fuels",Equinor ASA,Equinor Office Rio De Janeiro,Office,Office,Brazil,-22.924096,-43.1731683,H,H,H,H,H,VH,,49.87742473,M,H,Oil and gas exploration surveys,0.007964576,1768,0,0,0,0.127,3.25,0.691,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,4,0,13,0,0,0,0,0,0,0,0,95.67,105.92,96.5,103.83,105.33,93.5,2023,0,28.5
ESG_100216,Energy,Metals & Mining,Tenaris SA,Tenaris Bakersfield Threading Supplier,Supplier,Equipment Supplier,United States of America,35.3892775,-119.0839462,H,H,H,H,H,VH,,24.78283179,,H,Mining,0.058041951,444,0,0,0,0,38.274,7.033,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,2,5,17,4,24,0,0,0,0,0,0,0,0,12.5,9.67,7.5,10,8.75,7.92,2023,6.83,2.89
ESG_100217,Energy,"Oil, Gas & Consumable Fuels",Equinor ASA,Equinor Office Baku,Office,Office,Azerbaijan,40.376095,49.858464,H,H,H,H,H,VH,,93.79962536,M,H,Oil and gas exploration surveys,0.005654688,492,0,0,0,0,9.202,43.788,,,,0.074,0.072,0.084,0.076,0.08,0.096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.75,16.75,20.08,17.92,19.75,17,2023,4.23,20.87
ESG_100219,Energy,Metals & Mining,Tenaris SA,Tenaris Prudential Calgary Steel Plant,Plant,Steel Plant,Canada,50.9731502,-113.984499,,H,,H,,H,,54.54351189,,,Steel production,0.937135564,371,0,0,0,0,42.856,4.192,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,12,8,7,6,10,10,4,40.92,33.58,40.08,33.83,35.33,38.5,2023,0.23,1.99
ESG_100220,Energy,Metals & Mining,Tenaris SA,Tenaris Midland Pipe Supplier,Supplier,Pipe Supplier,United States of America,32.0476378,-101.9712084,,H,,H,,H,,31.35695254,,,Steel production,0.353845061,463,0,0,0,0,152.584,16.419,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,8,10,12,13,20,17,30,0,0,0,0,0,0,0,0,36,39.42,35.83,34.75,35.42,29.58,2023,0.2,0.09
ESG_100228,Energy,Metals & Mining,Tenaris SA,Tenaris Hydril Canada Steel Pipe Plant,Plant,Steel Plant,Canada,53.3494808,-113.5154912,,H,,H,,H,,13.53408826,,,Steel production,0.09246184,373,0,0,0,0,27.613,20.238,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,19,13,15,11,15,15,7,42.67,39.33,41.58,39.5,39.75,44.17,2023,0,0.83
ESG_100235,Energy,Metals & Mining,Tenaris SA,Tenaris Garrett Oklahoma Pipe Storage,Storage,Pipe Storage,United States of America,35.1754661,-97.8760292,,H,,H,,H,,30.83345157,,,Steel production,0.596500778,530,0,0,0,0,74.637,16.004,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,8,9,9,14,18,16,24,0,0,0,0,0,0,0,0,71.33,76.42,71.58,73.5,66.42,65.25,2023,0.32,0.29
ESG_100238,Energy,Metals & Mining,Tenaris SA,Tenaris Hickman Arkansas Steel Plant,Plant,Steel Plant,United States of America,35.93323383,-89.75828111,,H,,H,,H,,0.017774453,,,Steel production,1.545963188,666,0,0,0,0,75.119,3.615,,,,0.18,0.196,0.206,0.19,0.194,0.22,0,0,0,0,0,0,0,1,2,4,3,9,7,17,0,0,0,0,0,0,0,0,106.25,113,110.17,114,112.62,107.96,2023,1.41,1.29
ESG_100243,Energy,Metals & Mining,Tenaris SA,Tenaris Conroe Steel Plant,Plant,Steel Plant,United States of America,30.3163785,-95.4090832,,H,,H,,H,,46.20318758,,,Steel production,0.285980582,643,0,0,0,0,54.726,24.602,,,,0,0,0,0,0,0,0,0,0,0,0,0,3,9,14,16,20,23,14,29,0,0,0,0,0,0,0,0,93.83,101.25,96.58,97.92,99.33,87.92,2023,1.76,0.75
ESG_100250,Energy,Metals & Mining,Tenaris SA,Tenaris McCarty Threading Steel Plant,Plant,Steel Plant,United States of America,29.7808261,-95.2864038,,H,,H,,H,,23.90262507,,,Steel production,0.261351793,648,0,0,0,0,52.656,6.736,,,,0.242,0.256,0.276,0.252,0.26,0.256,0,0,0,0,0,0,5,10,15,17,19,24,15,31,0,0,0,0,0,0,0,0,91.08,97.75,93.75,95.17,95.67,85.08,2023,0.31,0.43
ESG_100255,Energy,Metals & Mining,Tenaris SA,Tenaris Confab Pipe Steel Plant,Plant,Steel Plant,Brazil,-22.9402496,-45.4120458,,H,,H,,H,,7.096758348,,,Steel production,1.128204317,1122,0,0,0,0,15.768,8.44,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,93.92,98.29,92.21,94.88,99.54,88.29,2023,0.03,0.1
ESG_100259,Energy,Metals & Mining,Tenaris SA,Tenaris Algoma Tubes Steel Plant,Plant,Steel Plant,Canada,46.5258833,-84.367035,,H,,H,,H,,0.016338664,,,Steel production,16.13537515,550,0,0,0,0,20.925,5.249,,,,0.202,0.218,0.226,0.222,0.208,0.206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,16,16,10,13,8,13,3,80.75,78.83,82.33,80.92,83.42,87.33,2023,6.78,26.51
ESG_100262,Energy,Metals & Mining,Tenaris SA,Tenaris Tubocaribe Bolivar Steel Plant,Plant,Steel Plant,Colombia,10.3703957,-75.46811375,,H,,H,,H,,14.80252251,,,Steel production,0.185279067,819,0,0,0,0,16.461,10.467,1,18,,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,18,7,57,21,92,0,0,0,0,0,0,0,0,82.58,78.33,85.08,83.42,84.17,82.67,2023,0,0.35
ESG_100267,Energy,Metals & Mining,Tenaris SA,Tenaris Tubocaribe Plant,Plant,Steel Plant,Colombia,10.36319565,-75.4723145,,H,,H,,H,,14.80887409,,,Steel production,0.23755461,813,0,0,0,0,15.24,10.653,1,18,,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,18,7,57,21,92,0,0,0,0,0,0,0,0,82.58,78.33,85.08,83.42,84.17,82.67,2023,3.39,0.3
ESG_100272,Energy,Metals & Mining,Tenaris SA,Tenaris Global Services Aberdeen Supplier,Supplier,Equipment Supplier,United Kingdom of Great Britain and Northern Ireland,57.11884492,-2.075110699,H,H,H,H,H,VH,,94.95721504,,H,Mining,0.056672186,698,0,0,0,0,16.815,1.002,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.75,71.33,72.17,73.17,73.67,77.75,2023,3.84,2.82
ESG_100280,Energy,Metals & Mining,Tenaris SA,Tenaris Saudi Steel Pipes Plant,Plant,Steel Plant,Saudi Arabia,26.2519416,49.9809613,,H,,H,,H,,89.98414817,,,Steel production,0.203465544,252,0,0,0,0,25.229,12.426,,,,0,0,0,0,0,0,0,0,0,0,0,0,45,47,49,48,49,54,50,61,0,0,0,0,0,0,0,0,7.17,7.5,6.75,6.58,7.25,6.25,2023,0.7,0.32
ESG_100288,Energy,Metals & Mining,Tenaris SA,Tenaris Spij Indonesia Steel Plant,Plant,Steel Plant,Indonesia,-5.99391325,106.0208037,,H,,H,,H,,11.91749218,,,Steel production,0.414588841,920,0,0,0,0,16.187,14.995,,,,0,0,0,0,0,0,0,0,0,0,0,0,4,1,2,10,5,52,15,76,0,0,0,0,0,0,0,0,173.58,176.92,174.92,176.75,177,169.67,2023,0,0.34
ESG_100293,Energy,Metals & Mining,Tenaris SA,Tenaris Hydril Batam Steel Plant,Plant,Steel Plant,Indonesia,1.114380595,104.1393257,,H,,H,,H,,14.30268816,,,Steel production,0.030867031,643,1,0,3.095,0,0,12.491,,,,,,,,,,0,0,0,0,0,0,0,0,0,6,2,53,11,84,0,0,0,0,0,0,0,0,181.42,196.25,190.17,173.75,193.17,183.08,2023,,
ESG_100303,Energy,Metals & Mining,Tenaris SA,Tenaris Global Services Canada Office,Office,Office,Canada,51.0456726,-114.0733025,H,H,L,H,L,H,,47.37525241,,,Vulcanisation,0.021922304,376,0,0,0,0,49.448,9.297,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,13,8,8,7,9,10,4,41.17,33.75,40.08,34.17,35.5,38.58,2023,35.03,17.59
ESG_100306,Energy,Metals & Mining,Tenaris SA,Tenaris Global Services Abu Dhabi Pipe Supplier,Supplier,Pipe Supplier,United Arab Emirates,24.278465,54.468966,,H,,H,,H,,87.35827789,,,Steel production,0.162832539,262,0,0,0,0,50.603,3.493,,,,0.002,0.006,0,0.016,0,0,0,0,0,0,0,0,45,50,51,50,50,58,53,64,0,0,0,0,0,0,0,0,6.67,6.67,6.67,6,6.33,6.08,2023,0,0.29
ESG_100309,Energy,Metals & Mining,Tenaris SA,Tenaris Kazakhstan Threaders LLP Pipe Supplier,Supplier,Pipe Supplier,Kazakhstan,43.6667922,51.2464993,,H,,H,,H,,42.33170148,,,Steel production,0.193960411,274,0,0,0,0,8.16,3.454,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,2,7,3,15,0,0,0,0,0,0,0,0,12.92,11.75,13.21,12.5,13.42,12.75,2023,1.76,0.61
ESG_100314,Energy,Metals & Mining,Tenaris SA,Tenaris Dalmine SPA Steel Plant,Plant,Steel Plant,Italy,45.6484625,9.6261476,,H,,H,,H,,15.28289081,,,Steel production,0.028050327,861,0,0,0,0,26.077,6.107,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,81.17,81.67,81.67,79.17,80,73.08,2023,2.32,0.61
ESG_100318,Energy,Metals & Mining,Tenaris SA,Tenaris Global Services Denmark,Plant,Steel Plant,Denmark,55.4654445,8.5098469,,H,,H,,H,,3.550807276,,,Steel production,0.301149286,591,0,0,0,0.355,1.221,0.142,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.5,77.67,76.5,77.58,79.67,82,2023,0.34,1.04
ESG_100322,Energy,Metals & Mining,Tenaris SA,Tenaris Global Services Norway AS,Office,Office,Norway,58.89598913,5.69081609,H,H,H,H,H,VH,,0.895223792,,H,Mining,0.053395742,510,0,0,0,0,2.246,2.566,,,,0.03,0.032,0.034,0.03,0.034,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,129.83,130.25,133.75,133.42,139.75,2023,2.6,1.92
ESG_100324,Energy,Metals & Mining,Tenaris SA,Tenaris Grande Prairie Pipe Supplier,Supplier,Pipe Supplier,Canada,55.1687138,-119.1748657,,H,,H,,H,,2.55126253,,,Steel production,1.008961583,322,1,0,3.143,0,0,5.909,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,21,15,17,13,13,17,10,43.54,42.46,44.67,46.04,44.58,47.79,2023,0.15,0.05
ESG_100329,Energy,Metals & Mining,Tenaris SA,Tenaris Coiled Tubes Downhole Steel Plant,Plant,Steel Plant,United States of America,29.8494741,-95.1889565,,H,,H,,H,,30.87617335,,,Steel production,0.298837995,661,0,0,0,0,59.445,6.251,,,,0.242,0.256,0.276,0.252,0.26,0.256,0,0,0,0,0,0,4,10,14,17,19,23,15,31,0,0,0,0,0,0,0,0,95.83,102.42,98.33,99.75,100.25,89.58,2023,0.23,0.43
ESG_100336,Energy,Metals & Mining,Tenaris SA,Tenaris Fittings Mexico Steel Plant,Plant,Steel Plant,Mexico,25.88293338,-100.220162,,H,,H,,H,,72.61596866,,,Steel production,0.150081837,550,0,0,0,0,30.576,16.821,1,28,,0,0,0,0,0,0,0,0,0,0,0,0,10,14,25,19,26,36,24,41,0,0,0,0,0,0,0,0,47.92,51.75,49.75,55.58,50.5,53.33,2023,0,1.81
ESG_100343,Energy,Metals & Mining,Tenaris SA,Tenaris Rods Campana Steel Plant,Plant,Steel Plant,Argentina,-34.16400418,-58.9798832,,H,,H,,H,,0.732978837,,,Steel production,0.128312436,532,0,0,0,0,9.285,6.449,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,5,0,0,0,0,0,0,0,0,81.5,81.08,83.58,85.75,85.67,88.33,2023,0.25,1.52
ESG_100347,Energy,Metals & Mining,Tenaris SA,Tenaris Precision Tube Canada ULC Red Deer Wholesaler,Wholesaler,Wholesaler,Canada,52.3097772,-113.7974794,,H,,H,,H,,3.362794845,,,Steel production,0.036734613,368,0,0,0,0,54.472,28.563,,,,1.868,2.342,2.286,1.83,1.86,2.076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,19,13,13,10,14,14,7,42.17,37.25,41,37.08,37.67,41.58,2023,1.97,6.1
ESG_100354,Energy,Metals & Mining,Tenaris SA,Tenaris West Virginia Pipe Supplier,Supplier,Pipe Supplier,United States of America,40.2161308,-80.6578177,,H,,H,,H,,4.344724758,,,Steel production,0.228501047,639,0,0,0,0,74.933,6.134,,,,0.116,0.126,0.122,0.124,0.114,0.13,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,1,1,0,91.58,94,94.75,96.92,95.17,95.5,2023,2.51,19.66
ESG_100359,Energy,Metals & Mining,Tenaris SA,Tenaris Koppel Tubulars Corporation Steel Plant,Plant,Steel Plant,United States of America,40.835884,-80.3192672,,H,,H,,H,,26.45736351,,,Steel production,1.445781631,611,0,0,0,0,71.591,1.941,,,,0.036,0.03,0.028,0.03,0.032,0.04,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,2,0,1,1,2,0,87.42,89.42,90.08,91.88,91.04,91.58,2023,0.27,3.57
ESG_100364,Energy,Metals & Mining,Tenaris SA,Tenaris Camanche Steel Plant,Plant,Steel Plant,United States of America,41.799616,-90.262431,,H,,H,,H,,0.12002402,,,Steel production,0.626235786,619,0,0,0,0,35.131,2.336,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,4,4,2,4,2,2,2,6,0,84,81.17,85.33,82.67,84.67,86.75,2023,0,1.86
ESG_100366,Energy,Metals & Mining,Tenaris SA,Tmk Ipsco Tubulars Steel Plant,Plant,Steel Plant,United States of America,39.06310342,-84.49189207,,H,,H,,H,,3.930269125,,,Steel production,1.445942773,687,0,0,0,0,75.152,4.395,,,,0.898,0.982,0.93,0.878,0.92,1.078,0,0,0,0,0,0,0,0,0,0,0,1,1,5,0,0,2,0,0,0,0,0,94.33,95.08,97.33,101.42,97.17,97,2023,7.98,3.39
ESG_100368,Energy,Metals & Mining,Tenaris SA,Tenaris Westwego Threading Steel Pipe Supplier,Plant,Steel Plant,United States of America,29.906978,-90.13006,,H,,H,,H,,1.23765781,,,Steel production,0.069541755,587,0,0,0,0,3.581,2.348,,,,1.032,1.112,1.24,1.148,1.15,1.206,0.43,0.44,0.57,0.61,0.85,0.97,1,2,10,9,16,18,11,29,0,0,0,0,0,0,0,0,126.17,130.83,124.33,127.92,126.58,116,2023,0,27.26
