esgType,Sector,industry,Company,locationName,locationGeneralType,locationType,countryName,latitude,longitude,NonGHGAirPollutants,GHGEmissions,SoilPollutants,SolidWaste,WaterPollutants,WaterUse,WaterQuality,waterStressScore,MarineEcosystemUse,FreshwaterEcosystemUse,ProductionProcess,landUsage,TotalSpeciesCount1km,located_within_KBA_or_Not,located_within_WPA_or_Not,area_KBA_1km,area_WPA_1km,distance_Kms_to_closest_KBA,distance_Kms_to_closest_WPA,AnnualHurricaneOccurance250Km,AnnualMaxStormSpeed250Km,AnnualLandslideOccurance25Km,RiverineInundation2030RCP45ReturnPeriod100,RiverineInundation2050RCP45ReturnPeriod100,RiverineInundation2080RCP45ReturnPeriod100,RiverineInundation2030RCP85ReturnPeriod100,RiverineInundation2050RCP85ReturnPeriod100,RiverineInundation2080RCP85ReturnPeriod100,CoastalInundation2030RCP45ReturnPeriod100Percentile95,CoastalInundation2030RCP85ReturnPeriod100Percentile95,CoastalInundation2050RCP45ReturnPeriod100Percentile95,CoastalInundation2050RCP85ReturnPeriod100Percentile95,CoastalInundation2080RCP45ReturnPeriod100Percentile95,CoastalInundation2080RCP85ReturnPeriod100Percentile95,heatwaveRiskScore_2025_RCP45,heatwaveRiskScore_2025_RCP85,heatwaveRiskScore_2050_RCP45,heatwaveRiskScore_2050_RCP85,heatwaveRiskScore_2075_RCP45,heatwaveRiskScore_2075_RCP85,heatwaveRiskScore_2100_RCP45,heatwaveRiskScore_2100_RCP85,coldwaveRiskScore_2025_RCP45,coldwaveRiskScore_2025_RCP85,coldwaveRiskScore_2050_RCP45,coldwaveRiskScore_2050_RCP85,coldwaveRiskScore_2075_RCP45,coldwaveRiskScore_2075_RCP85,coldwaveRiskScore_2100_RCP45,coldwaveRiskScore_2100_RCP85,annualAccumilatedRainfall2030RCP45,annualAccumilatedRainfall2030RCP85,annualAccumilatedRainfall2050RCP45,annualAccumilatedRainfall2050RCP85,annualAccumilatedRainfall2080RCP45,annualAccumilatedRainfall2080RCP85,Year,ChlorophyllPercentage_100m,ChlorophyllPercentage_1000m
ESG_109424,Energy,Auto Components,TotalEnergies SE,Saft America Valdese,Plant,Battery Manufacture Plant,United States of America,35.7649918,-81.5554521,M,,H,M,H,H,,0,,,Infrastructure holdings,0.058855644,613,0,0,0,0,49.385,16.433,1,8,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,103.67,111.33,108.92,116.33,112.75,111.17,2023,0,0.56
ESG_109425,Energy,Auto Components,TotalEnergies SE,Saft America Valdosta,Plant,Battery Manufacture Plant,United States of America,30.8017692,-83.2872619,M,,H,M,H,H,,8.048088316,,,Infrastructure holdings,0.14167455,601,0,0,0,0,62.481,4.027,5,16,,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,7,9,16,11,26,0,0,0,0,0,0,0,0,104.58,113.08,102.58,109.75,111.25,99.83,2023,0.38,1.01
ESG_109426,Energy,Auto Components,TotalEnergies SE,Saft America Jacksonville,Plant,Battery Manufacture Plant,United States of America,30.2731247,-81.8906296,M,,H,M,H,H,,2.901408822,,,Infrastructure holdings,0.067265277,617,0,0,0,0,24.745,4.114,3,16,,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,6,9,16,11,26,0,0,0,0,0,0,0,0,108.5,115.17,107.33,110.25,115,105.17,2023,7.14,1.65
ESG_109427,Energy,Auto Components,TotalEnergies SE,Ambri Battery Production,Plant,Battery Manufacture Plant,United States of America,42.3317617,-71.5442458,M,,H,M,H,H,,31.36426375,,,Infrastructure holdings,0.027780001,538,0,0,0,0,63.579,1.484,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,103.08,102.58,104.58,103,105.5,108.58,2023,1.81,0.2
ESG_109428,Energy,"Oil, Gas & Consumable Fuels",TotalEnergies SE,TotalEnergies Namibia Depots Walvis Bay,Storage,Oil Storage,Namibia,-22.94161178,14.5132198,,,L,,L,,,92.93497172,,,Oil and gas storage,0.223271038,697,0,0,0.263,0,0.721,3.167,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.42,1.92,0.67,1.75,1.83,3.08,2023,0.45,13.71
ESG_109429,Energy,Professional Services,TotalEnergies SE,Joint BioEnergy Institute,Research Institute,Research Institute,United States of America,37.8405133,-122.2899214,M,,H,M,H,H,,88.05656882,,,Infrastructure holdings,0.019721834,863,0,0,0,0,21.144,4.69,,,,0.05,0.05,0.052,0.05,0.052,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.08,45.25,44.08,37.25,40.83,39.17,2023,0.68,8.69
ESG_109430,Energy,Professional Services,TotalEnergies SE,Novogy Biochemistry Laboratory,Laboratory,Laboratory,United States of America,42.390015,-71.1308439,M,,H,M,H,H,,30.26572062,,,Infrastructure holdings,0.010863799,597,0,0,0,0,38.529,3.812,,,,0.33,0.312,0.354,0.332,0.346,0.342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.75,98.33,100.5,98.92,101.58,104.17,2023,0,0.33
ESG_109432,Energy,"Oil, Gas & Consumable Fuels",TotalEnergies SE,TotalEnergies Petrochemicals & Refining La Porte Polypropylene Plant,Plant,Petrochemicals Plant,United States of America,29.72851296,-95.08639945,H,H,L,,L,VH,L,24.48303311,,,Oil and gas refining,0.502704988,679,0,0,0,0,50.321,3.581,,,,0.242,0.256,0.276,0.252,0.26,0.256,0,0,0,0,0,0,4,10,15,17,18,23,13,31,0,0,0,0,0,0,0,0,96.12,102.62,98.71,100.08,100.42,89.75,2023,0.62,0.91
ESG_109433,Energy,"Oil, Gas & Consumable Fuels",TotalEnergies SE,TotalEnergies Petrochemicals & Refining Carville Plant,Plant,Petrochemicals Plant,United States of America,30.2252946,-91.0693892,H,H,L,,L,VH,L,0.530210118,,,Oil and gas refining,1.698309838,601,0,0,0,0,20.926,15.523,,,,0.612,0.666,0.742,0.682,0.686,0.722,0,0,0,0,0,0,1,2,10,9,15,18,10,29,0,0,0,0,0,0,0,0,123.17,128,122.17,124.33,123.75,113,2023,0.78,14.89
ESG_109434,Energy,Air Freight & Logistics,TotalEnergies SE,Hutchinson Pannes Warehouse,Warehouse,Warehouse,France,47.98997,2.668006,H,H,L,,L,,,6.305290013,M,,Distribution,0.041068614,760,0,0,0,0,18.229,8.293,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,54.58,57.67,55.42,52.58,56.67,50.5,2023,0.52,0.07
