Location,Year,ChlorophyllPercentage_100m,ChlorophyllPercentage_1000m
ESG_152633,2023,1.7,0.23
ESG_152636,2023,0.16,0.04
ESG_152642,2023,0.0,0.17
ESG_152649,2023,0.0,0.04
ESG_152653,2023,0.85,1.44
ESG_152657,2023,4.17,20.0
ESG_152669,2023,10.45,2.1
ESG_152672,2023,0.58,0.82
ESG_152678,2023,4.62,3.79
ESG_152686,2023,0.0,1.11
ESG_152706,2023,0.0,8.94
ESG_152720,2023,0.0,0.73
ESG_152726,2023,1.14,5.22
ESG_152736,2023,9.3,4.38
ESG_152741,2023,0.0,23.42
ESG_152744,2023,,
ESG_152750,2023,11.55,0.86
ESG_152752,2023,1.39,2.42
ESG_152754,2023,1.08,0.56
ESG_152758,2023,0.0,0.11
ESG_152760,2023,5.04,1.57
ESG_152765,2023,4.62,35.49
ESG_152770,2023,0.0,8.62
ESG_152771,2023,0.95,0.1
ESG_152774,2023,1.21,0.53
ESG_152784,2023,0.51,0.31
ESG_152794,2023,0.0,0.21
ESG_152801,2023,0.0,0.01
ESG_152806,2023,1.94,0.13
ESG_152807,2023,0.68,0.54
ESG_152809,2023,0.0,0.0
ESG_152816,2023,2.42,22.58
ESG_152835,2023,0.0,0.84
ESG_152837,2023,0.0,1.34
ESG_152840,2023,,
ESG_152890,2023,0.0,0.41
ESG_152904,2023,0.0,0.59
ESG_152908,2023,0.0,0.4
ESG_152920,2023,0.0,9.99
ESG_152928,2023,2.1,0.07
ESG_152931,2023,3.37,0.46
ESG_152938,2023,0.63,0.07
ESG_152941,2023,0.0,32.33
ESG_152947,2023,4.63,21.76
ESG_152952,2023,0.97,1.15
ESG_152964,2023,0.0,2.79
ESG_152973,2023,0.0,0.28
ESG_152979,2023,0.62,39.51
ESG_152984,2023,0.82,9.03
ESG_153014,2023,0.0,0.25
ESG_153018,2023,0.0,0.37
ESG_153022,2023,0.0,0.28
ESG_153024,2023,0.0,1.77
ESG_153025,2023,0.0,0.0
ESG_153033,2023,1.8,1.84
ESG_153039,2023,1.4,0.49
ESG_153045,2023,0.0,3.17
ESG_153049,2023,1.59,1.44
ESG_153051,2023,0.0,0.1
ESG_153075,2023,2.22,1.32
ESG_153084,2023,6.34,0.67
ESG_153089,2023,2.23,19.01
ESG_153092,2023,0.54,14.98
ESG_153096,2023,1.5,0.24
ESG_153097,2023,5.18,1.54
ESG_153101,2023,0.0,0.21
ESG_153103,2023,9.42,1.24
ESG_153104,2023,0.0,0.24
ESG_153107,2023,0.0,1.28
ESG_153108,2023,0.0,0.02
ESG_153110,2023,0.0,0.28
ESG_153116,2023,0.0,0.35
ESG_153117,2023,6.1,0.57
ESG_153173,2023,6.32,2.55
ESG_153175,2023,5.61,3.56
ESG_153176,2023,0.16,0.6
ESG_153221,2023,0.0,0.1
ESG_153224,2023,3.38,0.53
ESG_153227,2023,0.0,3.44
ESG_153236,2023,0.0,0.42
ESG_153239,2023,0.0,0.33
ESG_153242,2023,1.78,0.27
ESG_153245,2023,10.22,2.53
ESG_153249,2023,0.45,0.3
ESG_153250,2023,0.0,0.6
ESG_153256,2023,0.0,0.15
ESG_153257,2023,0.29,0.46
ESG_153261,2023,1.06,0.54
ESG_153262,2023,0.41,15.42
ESG_153263,2023,3.16,2.16
ESG_153265,2023,0.0,0.03
ESG_153270,2023,0.28,0.04
